Column,Average
mergesort1_100000_memory_nearly_sorted_usage,800020.0
mergesort1_100000_memory_sorted_usage,800020.0
mergesort2_1000_memory_unsorted_usage,4000.0
mergesort2_1000_memory_reversed_usage,4000.0
mergesort2_1000_memory_nearly_sorted_usage,4000.0
mergesort2_1000_memory_sorted_usage,4000.0
mergesort3_1000000_times_unsorted_times,140935024.07
mergesort3_1000000_times_reversed_times,133799735.13
mergesort3_1000000_times_nearly_sorted_times,189288229.72
mergesort3_1000000_times_sorted_times,140932067.68
mergesort4_10000_times_unsorted_times,316039.62
mergesort4_10000_times_reversed_times,335700.7
mergesort4_10000_times_nearly_sorted_times,701359.98
mergesort4_10000_times_sorted_times,335820.1
mergesort4_10000_memory_unsorted_usage,0.0
mergesort4_10000_memory_reversed_usage,0.0
mergesort4_10000_memory_nearly_sorted_usage,0.0
mergesort4_10000_memory_sorted_usage,0.0
mergesort4_100000_memory_unsorted_usage,0.0
mergesort4_100000_memory_reversed_usage,0.0
mergesort4_100000_memory_nearly_sorted_usage,0.0
mergesort4_100000_memory_sorted_usage,0.0
