mergesort2_100_unsorted_times,mergesort2_100_reversed_times,mergesort2_100_nearly_sorted_times,mergesort2_100_sorted_times,mergesort1_1000_unsorted_times,mergesort1_1000_reversed_times,mergesort1_1000_nearly_sorted_times,mergesort1_1000_sorted_times,mergesort1_10_unsorted_times,mergesort1_10_reversed_times,mergesort1_10_nearly_sorted_times,mergesort1_10_sorted_times,mergesort1_100_unsorted_times,mergesort1_100_reversed_times,mergesort1_100_nearly_sorted_times,mergesort1_100_sorted_times,mergesort2_10000_unsorted_times,mergesort2_10000_reversed_times,mergesort2_10000_nearly_sorted_times,mergesort2_10000_sorted_times,mergesort1_100000_unsorted_times,mergesort1_100000_reversed_times,mergesort1_100000_nearly_sorted_times,mergesort1_100000_sorted_times,mergesort2_100000_unsorted_times,mergesort2_100000_reversed_times,mergesort2_100000_nearly_sorted_times,mergesort2_100000_sorted_times,mergesort1_10000_unsorted_times,mergesort1_10000_reversed_times,mergesort1_10000_nearly_sorted_times,mergesort1_10000_sorted_times,mergesort2_1000000_unsorted_times,mergesort2_1000000_reversed_times,mergesort2_1000000_nearly_sorted_times,mergesort2_1000000_sorted_times,mergesort1_1000000_unsorted_times,mergesort1_1000000_reversed_times,mergesort1_1000000_nearly_sorted_times,mergesort1_1000000_sorted_times,mergesort2_10_unsorted_times,mergesort2_10_reversed_times,mergesort2_10_nearly_sorted_times,mergesort2_10_sorted_times,mergesort2_1000_unsorted_times,mergesort2_1000_reversed_times,mergesort2_1000_nearly_sorted_times,mergesort2_1000_sorted_times
11153,11816,11260,11648,379142,184872,183002,172005,9346,8762,7670,7165,86094,17322,18499,15548,1280776,1238832,1233912,1235687,18301922,18211874,20146587,18301257,12902958,12855590,12533653,13024776,1763268,1909349,1842121,1815364,140842689,141325391,141190869,141483550,192318403,193203572,208127459,194169815,954,952,962,1033,209527,117849,115941,127213
11164,12607,11291,11808,401113,188252,188879,174641,9149,8954,7501,7070,85168,17338,18287,15558,1190752,1231926,1192241,1200718,18527182,18286823,19908412,18173870,12804786,12829936,12719702,12740648,1698714,1750675,1864629,1877013,141550332,141031513,140139151,140291724,193526525,194727351,207761218,195152295,970,969,960,1042,208565,117542,115869,125471
11150,12090,11243,11955,410678,186999,193134,172655,9457,8806,7589,7162,84635,17398,17831,15647,1231152,1280150,1183346,1262357,18330297,18224294,19753730,18046332,12811137,12763353,12855846,12756809,1817813,1757666,1896031,1722121,139789670,141039988,140325636,139965612,193036852,192576705,207522004,194796044,949,941,960,955,210716,116835,140482,125181
11174,12006,11260,11976,397249,183372,193056,175504,9331,8695,7993,7242,89807,17350,17737,15478,1174871,1235333,1217444,1236602,18197054,17978346,19736091,18124346,12687029,12907235,12963578,12814283,1701832,1707767,1946844,1731196,140564948,141220313,140897998,140532081,194955189,193926348,206895369,194211483,950,941,958,962,214605,116311,139175,133506
11143,16144,11277,11938,380387,184165,194394,174369,9268,8773,7685,7068,86682,17333,17872,15789,1171265,1217040,1262852,1178718,18314270,18277757,19884764,18274512,12652873,12887009,12988602,12810332,1772227,1779332,1892610,1850013,141074692,140705119,140842993,140736588,194605170,194435180,207506210,193963174,1123,942,957,965,213645,117859,139207,137235
11152,12654,11276,14625,428361,174664,194642,174007,9416,8614,7653,7156,92190,17401,17997,15552,1322290,1255682,1328082,1237565,18149572,18145251,19685916,18356648,12626259,12810639,12779075,12919144,1762671,1911074,1954469,1815950,140840361,139824655,140914559,141379185,192867159,194261841,207254476,194729851,968,972,968,964,213527,115393,138756,138528
11168,11915,11313,11547,309919,173140,195494,174446,9098,8601,7912,7104,82303,17303,17481,15630,1251613,1254875,1320731,1252319,18358502,18461237,19787616,18236752,12564822,13090243,12932566,12959840,1833159,1772540,1940034,1769085,140917753,140712411,140898842,139827601,193798603,193976835,208301622,194310261,955,941,957,955,213966,114972,138854,138380
11207,12265,11250,12037,187366,172744,191141,174239,9097,8788,7897,7166,81822,17407,18103,15565,1180426,1344608,1238647,1201422,17997114,18206239,19900842,18233026,12927838,12693093,12928482,12826924,1826216,1742438,1888419,1747642,140870115,142040597,140909649,140718578,193468138,193579789,207059927,194583763,953,968,957,962,214470,117489,137426,138504
11177,11648,11266,12027,185693,173279,192813,174381,9406,8393,7763,7104,82128,17303,17374,15550,1173782,1221064,1217647,1222393,18250207,18115513,19875298,18269954,12747926,13166117,12964596,12615283,1703071,1856182,1938538,1703198,140636541,140521536,140179143,141127804,191506576,194265326,206936422,193694723,955,957,957,963,195068,114692,138650,137519
11220,12248,11285,12117,193698,173125,193116,175728,9281,8537,7788,7160,81841,17395,17427,15510,1187262,1215984,1263952,1185024,18009443,18092535,19575957,18283312,12914714,12834055,12885052,12873697,1764446,1686779,1919572,1706130,141457472,141472670,140872865,140849161,194166374,195113505,208769621,193595568,966,958,958,986,194596,114857,121590,138864
